"A1","A2","A3","A4","A5","N1","N2","N3","N4","N5","gender","education","age"
3,3,4,3,1,1,2,4,3,5,1,1,30
5,2,2,4,3,1,3,3,5,1,2,3,30
6,4,3,6,3,5,6,4,5,5,2,1,16
6,5,5,6,6,3,4,1,1,1,2,4,45
6,4,6,5,6,6,6,6,6,6,2,2,51
4,3,4,3,5,4,4,4,4,4,2,2,19
4,4,3,1,3,4,4,3,4,4,2,4,28
5,5,5,6,6,1,4,3,4,4,2,3,25
6,6,6,6,6,3,5,2,2,2,2,2,32
5,4,6,6,6,4,4,4,4,5,2,4,24
3,6,6,6,5,6,6,3,1,1,1,2,18
5,4,4,6,4,3,2,1,1,1,1,3,21
6,4,4,4,4,2,3,3,4,3,2,5,40
6,5,5,6,5,1,2,2,2,4,2,5,33
4,4,5,6,5,5,6,2,2,3,2,4,32
6,5,4,6,4,4,5,4,3,3,2,5,23
3,4,3,4,2,5,5,4,5,5,1,3,26
3,5,5,6,4,4,4,3,3,5,2,3,21
6,4,3,5,5,2,4,4,5,3,1,5,26
6,6,6,6,6,1,3,3,1,1,2,4,45
2,6,5,6,5,5,6,6,6,6,2,3,20
5,5,5,6,5,2,2,4,2,2,2,2,26
5,5,5,6,5,4,4,4,3,3,2,3,20
5,4,5,5,5,1,1,1,1,1,1,2,54
5,4,4,3,5,1,4,4,3,2,1,4,29
3,6,6,6,5,4,5,4,4,5,1,3,18
5,6,4,1,5,2,5,3,2,3,2,2,57
5,1,3,1,3,4,3,2,3,3,1,3,21
5,4,3,6,5,3,4,4,4,5,2,5,23
6,6,4,6,5,3,3,1,2,5,2,3,20
5,6,4,5,4,4,3,2,4,2,1,3,20
5,4,5,4,4,3,4,1,1,1,2,4,40
5,4,4,3,4,6,6,3,6,5,2,2,30
5,5,5,6,5,2,2,3,2,1,2,4,30
4,5,5,2,6,5,4,5,1,2,2,3,21
1,1,1,6,1,1,1,1,1,1,1,3,23
6,5,5,6,5,1,1,1,1,3,2,5,56
6,5,6,4,6,4,5,3,4,4,2,5,29
2,5,4,6,4,3,4,5,5,2,2,3,39
6,6,6,6,5,2,2,2,4,2,2,3,19
3,4,5,5,5,4,4,5,4,1,1,4,22
6,6,5,5,6,2,4,2,2,2,2,5,42
5,4,6,5,5,4,4,4,4,2,2,3,25
6,6,6,5,6,3,4,4,2,5,2,3,18
5,4,3,5,4,3,5,5,5,5,2,3,18
6,6,6,5,6,1,2,1,3,2,1,2,34
5,6,3,6,2,1,3,3,3,6,2,5,20
5,6,6,6,6,3,2,3,1,3,2,3,26
5,3,3,5,5,5,4,3,2,4,2,3,27
6,6,6,1,6,2,3,1,2,1,2,3,20
6,5,3,4,4,6,6,6,6,6,2,3,20
5,6,5,6,5,1,4,4,1,2,2,3,17
6,5,2,5,3,3,3,5,4,5,2,5,30
3,4,4,2,5,4,4,4,3,2,2,5,55
5,4,1,1,5,4,4,2,2,4,1,3,28
3,6,5,6,6,2,3,2,2,2,2,3,19
5,4,5,4,5,2,3,6,4,6,2,5,29
2,5,2,2,4,6,6,5,6,4,1,5,31
5,5,5,6,6,4,5,3,3,4,2,5,23
5,4,4,4,3,3,3,5,3,2,2,5,51
5,5,6,6,2,2,5,6,2,6,1,2,42
5,5,5,5,5,1,1,1,1,1,1,4,26
3,6,2,2,4,5,5,6,4,2,2,5,28
6,6,5,1,5,2,4,4,5,2,2,4,24
5,6,5,6,6,2,5,5,3,5,2,3,25
6,6,6,6,4,2,2,2,1,2,2,3,28
3,6,5,6,6,2,2,6,3,1,2,3,23
6,5,5,6,5,2,5,2,2,3,1,4,35
5,4,4,5,4,1,2,1,1,2,1,3,20
5,6,6,6,6,1,1,2,2,1,2,2,51
6,6,6,6,6,3,4,2,3,3,2,3,42
5,5,5,5,4,4,5,5,5,4,2,5,60
6,6,6,3,6,2,5,4,6,1,2,5,48
6,4,4,2,2,5,6,6,5,6,2,5,33
4,4,4,3,4,5,4,2,2,4,2,5,27
6,6,4,6,4,4,4,4,4,5,1,5,29
1,2,5,6,6,1,1,1,2,6,2,2,19
5,4,4,3,5,1,1,1,1,2,2,5,38
4,5,5,6,6,3,3,3,3,3,2,2,23
4,2,5,6,6,6,6,6,5,1,2,5,47
6,6,6,6,6,4,1,6,4,5,2,3,55
6,6,6,5,6,1,1,2,2,1,2,3,19
1,5,6,5,6,6,6,6,6,6,2,3,20
5,5,5,5,5,2,3,2,3,5,2,5,45
4,4,5,4,6,3,5,2,2,2,1,2,23
6,5,5,6,6,1,1,3,2,2,2,3,50
5,5,4,4,5,4,4,5,6,1,2,4,28
2,5,4,5,4,1,1,4,3,4,1,3,21
5,2,4,1,3,5,5,6,6,4,1,3,18
5,5,6,6,6,4,1,6,6,2,1,4,21
6,5,5,4,5,3,4,4,4,4,2,3,19
4,5,3,5,5,4,4,3,2,2,2,3,23
6,6,2,5,2,4,5,5,6,2,2,4,37
6,6,6,6,6,1,1,1,1,1,2,2,61
3,6,4,6,3,4,4,4,4,5,2,2,35
5,5,5,6,5,2,4,1,1,2,2,3,28
4,5,4,4,5,2,2,4,2,1,2,3,22
3,4,2,4,6,1,1,1,2,2,2,4,51
3,5,2,1,4,4,5,2,4,6,2,1,18
5,5,5,4,6,1,2,1,3,2,2,3,29
5,4,2,6,5,4,4,4,5,6,2,3,40
3,5,5,6,4,3,4,4,2,4,1,3,19
1,6,6,6,6,6,3,2,2,5,1,1,18
5,2,4,4,5,4,4,4,3,4,1,3,21
4,2,5,5,3,2,2,2,1,3,2,1,40
6,6,6,6,6,6,5,6,6,1,2,4,22
6,5,6,6,5,1,2,1,1,2,2,4,26
3,5,4,4,5,4,2,1,1,5,2,3,20
2,4,1,4,2,2,4,1,5,1,2,5,26
4,4,4,3,3,4,4,5,4,4,1,2,19
4,4,5,6,5,1,2,1,2,1,1,1,20
5,4,2,6,4,3,4,4,2,3,2,3,28
5,4,6,6,5,4,4,4,3,2,2,3,25
6,5,1,5,6,2,5,1,1,1,2,1,37
4,5,5,6,6,4,3,2,3,1,1,1,39
6,5,5,4,4,3,4,4,3,2,1,3,21
6,6,4,1,1,4,3,6,6,5,2,4,37
4,5,2,2,5,2,2,5,2,2,1,1,21
3,3,1,3,3,5,5,6,6,6,1,3,19
4,3,4,3,4,5,5,6,4,4,1,1,23
5,3,5,2,5,3,4,3,3,1,2,4,29
6,5,5,6,6,1,2,3,1,2,2,4,43
6,4,4,1,6,5,6,4,6,6,2,1,17
6,6,6,6,6,1,1,1,1,1,2,2,26
5,5,5,6,6,1,1,1,1,5,1,3,52
4,3,3,4,4,1,2,2,4,3,1,3,18
5,5,5,4,5,4,4,2,3,1,1,5,30
3,6,6,6,6,1,1,2,2,2,2,1,20
2,4,5,2,5,6,6,6,5,6,2,1,18
3,4,5,4,4,5,5,2,4,4,1,3,22
5,3,4,5,3,6,6,5,4,1,1,4,30
6,6,6,6,6,6,6,6,6,3,2,3,26
6,5,5,4,6,1,1,3,3,3,2,3,20
4,5,5,4,4,2,4,3,3,3,2,3,31
6,6,5,6,6,1,1,4,5,6,1,5,24
6,6,6,6,5,2,2,1,2,4,2,3,42
5,5,3,5,2,5,5,5,6,6,1,2,38
6,5,5,6,5,5,2,4,4,2,1,4,32
4,6,6,6,2,2,4,2,1,2,2,3,19
6,5,4,2,5,2,5,5,4,2,1,4,21
2,4,2,5,3,2,5,2,3,1,1,4,54
6,6,6,6,6,4,5,6,5,6,2,4,29
2,5,3,4,3,4,5,3,5,2,1,2,22
3,5,3,4,4,3,2,2,4,2,1,4,32
1,5,6,6,6,1,3,2,2,3,1,3,26
3,4,2,2,2,4,4,6,5,5,1,3,20
5,5,5,6,4,1,2,2,2,1,2,3,17
5,5,4,2,4,2,3,2,2,3,2,2,19
3,5,1,5,1,5,5,4,6,3,1,3,22
1,2,5,6,6,1,1,6,2,6,2,2,19
5,5,5,6,3,2,3,1,2,2,1,4,35
3,3,4,4,3,2,4,3,4,2,1,2,22
5,5,5,6,5,4,2,3,4,4,2,3,23
1,6,5,6,6,1,1,2,1,2,2,3,57
5,4,5,5,5,2,2,1,3,4,2,4,31
5,4,5,6,5,3,4,5,5,4,2,4,54
1,1,1,4,6,1,1,1,1,1,2,3,38
2,3,5,4,4,3,3,1,3,2,2,5,55
5,5,5,4,5,4,4,4,3,2,2,4,50
5,5,4,5,5,4,4,4,4,4,2,2,40
3,5,6,5,5,5,4,4,3,1,2,3,18
6,6,4,6,6,5,6,6,6,6,2,3,40
5,5,6,4,5,2,4,2,2,2,2,5,26
2,6,5,6,6,2,6,2,2,4,2,3,46
5,6,5,6,4,3,4,4,4,4,2,4,20
5,5,5,6,5,1,1,2,2,2,2,3,28
4,3,4,5,6,2,2,1,1,1,1,1,17
6,6,6,4,6,1,2,3,3,3,2,3,21
3,3,6,3,3,5,5,2,3,3,1,1,19
5,5,4,1,6,2,3,3,3,1,1,3,18
5,5,6,6,6,2,2,4,4,2,2,5,30
1,5,6,6,6,6,6,6,6,6,2,3,22
5,4,4,1,2,6,6,6,6,6,2,3,19
3,5,2,6,5,5,6,2,2,5,2,1,19
6,6,5,2,6,2,4,5,6,6,2,1,18
6,5,1,5,5,5,2,6,6,2,2,3,36
3,2,5,5,2,4,4,5,6,2,2,3,38
5,5,5,3,5,4,5,4,2,2,1,3,20
5,5,4,3,2,4,5,2,2,1,1,4,55
4,5,5,5,5,2,1,2,2,2,1,5,31
5,2,5,5,4,3,4,3,6,4,1,5,46
6,5,5,4,2,3,4,2,6,4,2,4,29
3,5,5,6,5,1,2,5,2,4,2,3,24
4,5,4,5,4,5,5,5,5,5,1,3,25
6,6,5,4,4,5,5,6,5,6,2,3,31
6,6,5,6,5,4,5,5,5,6,2,1,18
5,3,4,3,3,2,4,2,5,3,2,1,19
1,3,3,6,6,1,5,2,1,1,2,3,21
3,2,2,4,3,1,1,1,5,1,1,4,34
3,4,5,6,5,1,2,1,5,4,1,4,43
6,6,6,6,6,2,4,1,1,1,2,5,53
4,3,6,2,6,3,3,4,1,2,2,5,26
5,6,6,5,5,1,1,2,2,2,2,3,49
2,5,5,5,3,5,4,4,2,6,2,3,39
5,6,4,5,4,1,2,1,2,1,2,3,29
6,5,5,5,5,3,4,4,4,1,2,5,56
4,6,6,5,5,3,5,4,4,5,2,3,23
3,4,4,6,2,2,3,4,5,3,2,5,38
6,5,5,3,4,5,5,5,6,1,1,3,19
5,5,5,3,2,2,4,4,4,2,1,3,22
5,2,1,6,3,1,3,1,1,1,2,5,31
5,5,5,6,4,4,4,4,5,4,2,3,19
6,6,6,6,6,1,1,5,6,1,1,5,20
6,5,6,4,6,1,5,6,4,6,2,5,38
4,4,5,6,5,1,1,5,3,2,1,5,23
5,4,4,6,4,4,5,5,5,5,2,4,36
5,5,4,5,4,2,2,5,4,2,1,5,38
6,5,5,6,6,1,2,1,2,2,2,4,24
3,6,5,5,6,4,3,1,3,4,2,3,25
5,5,2,6,3,4,4,3,4,2,1,3,20
6,6,3,4,2,4,1,3,2,5,1,1,16
4,6,6,4,3,6,6,4,5,5,2,2,17
5,4,5,5,6,1,2,2,2,5,2,5,40
6,6,6,6,6,3,3,5,2,5,2,3,20
4,2,4,6,6,1,1,2,3,1,1,3,43
4,3,3,4,5,2,2,4,3,2,1,4,48
6,6,6,6,6,4,4,1,1,1,1,3,20
5,5,5,6,4,2,2,2,3,4,2,3,39
5,5,5,6,5,2,3,2,1,1,2,1,21
5,5,4,5,5,3,4,2,3,3,2,3,18
6,5,6,5,3,3,3,3,4,3,1,4,28
2,5,5,6,5,4,4,5,5,4,2,3,23
5,5,5,4,4,4,5,4,4,2,2,4,34
6,6,6,6,5,1,2,1,2,1,2,5,43
6,4,6,5,6,1,2,2,5,1,2,2,48
5,4,5,2,5,3,5,2,1,1,1,3,21
6,4,5,4,5,3,2,2,2,4,2,5,31
4,4,4,2,6,3,3,5,5,2,1,4,30
6,6,5,6,4,5,6,6,4,6,2,3,27
5,5,4,5,3,5,5,5,5,5,2,3,30
5,6,6,6,6,3,4,5,5,5,1,5,23
3,3,2,5,3,5,4,5,5,3,1,2,30
5,4,6,6,6,5,6,5,5,5,2,5,35
4,4,4,5,3,3,3,4,4,4,1,3,18
2,4,4,1,6,4,5,1,4,1,1,3,23
4,3,1,3,2,5,3,4,6,2,1,1,19
6,4,4,6,3,6,6,6,4,2,2,3,32
6,6,6,6,6,6,6,5,1,1,2,3,20
6,5,5,5,5,1,4,2,5,3,2,1,44
5,4,4,5,4,5,5,4,3,4,2,4,31
6,5,5,6,5,3,3,1,2,1,1,3,27
4,5,1,4,4,2,4,5,3,5,2,3,30
6,6,6,6,6,2,4,4,3,1,2,3,22
3,5,4,5,4,6,6,6,5,5,2,3,26
3,2,1,1,2,2,4,2,1,3,1,2,48
1,2,5,6,6,1,1,4,2,5,2,2,19
5,6,6,6,6,2,3,2,2,4,2,3,24
6,5,5,6,5,4,4,4,3,2,2,3,30
4,4,4,3,4,3,4,2,1,2,1,3,19
6,5,5,6,4,3,2,6,4,2,2,4,24
4,5,2,6,2,2,4,1,1,1,2,5,35
4,3,4,4,5,4,4,3,2,4,1,3,23
5,5,3,5,1,3,5,4,4,5,2,3,37
5,5,4,6,5,5,5,4,3,3,2,3,25
6,5,6,2,3,2,3,5,5,2,1,3,22
3,2,2,2,4,5,5,2,5,6,1,5,32
3,5,5,5,6,1,4,2,5,1,1,5,24
4,4,3,4,4,2,4,4,5,4,2,3,25
4,5,4,6,5,4,4,2,4,4,1,4,28
2,5,5,4,5,2,4,2,2,1,2,2,46
6,6,4,4,4,2,4,4,1,2,2,3,27
6,6,6,6,5,1,1,2,2,1,2,3,50
5,5,5,2,5,2,4,1,2,2,2,4,28
3,6,6,6,6,1,4,5,5,6,2,3,31
5,6,6,5,3,6,6,6,6,6,2,3,36
6,5,6,5,5,1,2,1,2,1,1,3,19
6,6,6,5,6,1,1,1,2,4,2,4,30
5,4,5,2,6,2,2,2,2,1,1,3,23
2,2,2,2,5,5,5,5,6,5,1,4,29
5,5,5,5,5,1,5,4,4,2,1,1,35
2,5,4,5,5,4,4,4,4,4,2,3,28
3,4,4,5,6,5,5,3,3,1,1,3,27
5,6,4,5,4,2,2,1,1,2,2,3,25
3,5,4,6,5,1,1,1,1,1,2,3,24
5,3,1,3,1,5,4,3,6,4,1,3,21
3,4,4,4,5,3,3,4,5,3,1,1,18
6,5,6,6,4,2,2,2,2,4,2,4,39
6,6,6,6,5,2,2,2,1,2,2,2,39
5,5,6,5,4,6,6,6,3,2,2,3,27
2,6,5,5,4,3,3,4,4,5,2,3,26
1,5,5,3,3,1,3,4,5,3,2,3,21
5,5,5,5,3,3,4,3,2,4,2,2,33
6,5,5,4,5,3,4,6,6,3,2,3,20
6,6,6,5,6,3,3,2,2,2,1,3,27
6,6,6,6,6,2,3,1,1,2,2,4,55
6,6,5,5,5,2,2,4,3,2,2,4,24
5,5,6,5,5,2,2,2,5,4,1,3,22
4,6,5,4,4,4,4,5,4,5,1,3,18
5,6,6,6,6,4,3,6,6,4,2,5,27
5,5,4,5,5,5,5,5,4,3,2,3,22
6,5,5,6,5,4,5,5,3,5,2,1,40
4,4,5,5,5,4,4,4,1,1,1,3,36
6,6,5,6,6,3,3,3,3,2,2,3,31
6,6,6,6,6,1,1,1,1,1,2,3,38
6,6,5,6,5,1,2,2,1,2,2,4,27
1,6,6,6,6,1,1,1,1,6,1,3,26
6,6,5,6,6,1,1,1,1,1,2,3,43
6,6,6,6,6,2,1,4,1,1,2,3,31
6,6,3,3,4,2,4,5,3,1,2,3,20
5,5,6,4,6,1,4,6,4,4,2,5,35
6,5,5,6,6,1,2,4,2,5,2,3,21
4,4,2,2,3,2,3,1,1,1,1,3,18
4,5,4,5,5,6,6,5,4,5,2,3,19
3,5,6,5,5,5,3,4,4,2,1,3,26
6,5,6,6,1,5,2,1,5,5,2,5,38
4,4,4,4,5,2,3,2,3,2,1,3,22
5,5,5,6,5,3,3,5,6,2,1,2,22
6,6,6,6,6,1,3,2,5,4,2,3,19
5,5,5,6,5,2,2,2,1,1,1,4,50
4,5,5,6,1,6,6,6,5,1,1,2,25
6,6,6,6,6,1,1,2,4,2,2,3,41
3,4,4,6,5,1,1,1,1,4,2,3,35
4,4,2,5,4,2,5,4,2,6,2,4,22
5,6,5,5,4,1,2,1,2,1,1,2,43
6,6,6,4,5,2,4,4,2,5,2,3,20
1,4,5,6,5,5,6,5,2,4,1,3,22
6,6,5,6,5,1,1,1,1,3,2,3,19
6,4,5,3,4,3,4,2,5,4,2,5,36
5,5,6,5,6,5,5,5,2,3,2,3,34
6,6,5,6,5,2,4,3,3,2,2,3,20
6,5,6,6,5,3,4,1,1,1,2,1,21
4,2,5,4,4,3,3,3,4,4,2,3,18
2,5,5,4,6,1,3,1,2,1,1,3,26
3,4,4,5,5,2,1,2,2,2,2,2,36
5,5,5,6,4,4,4,4,3,2,2,1,18
5,5,4,6,4,2,3,4,5,3,2,3,20
6,4,4,2,5,4,4,4,5,4,1,3,16
6,6,6,6,6,2,2,4,1,4,2,5,24
6,5,6,6,5,4,5,1,4,2,1,5,27
6,6,5,6,5,5,4,5,4,2,1,2,56
6,6,6,5,6,2,4,2,2,3,2,3,46
5,5,4,2,5,3,2,1,3,2,2,5,52
3,3,5,6,4,1,4,3,4,2,1,4,21
6,5,5,6,6,2,2,5,2,5,2,3,22
4,5,5,2,4,4,5,4,3,4,2,5,28
6,6,6,5,6,3,4,3,6,4,1,2,26
4,5,2,4,5,1,3,3,2,4,2,5,34
6,6,6,5,5,3,3,3,3,4,2,1,34
4,5,2,5,5,2,4,5,4,4,1,3,18
6,6,5,6,5,4,6,2,1,2,2,3,25
6,6,6,6,6,6,5,6,6,5,2,2,33
2,4,4,3,5,3,4,1,3,2,1,5,25
5,1,4,1,4,2,2,6,2,2,2,4,19
5,5,5,5,5,3,2,3,2,2,1,1,19
5,6,5,6,6,3,4,4,4,2,1,5,29
6,6,4,4,2,4,5,2,3,1,2,3,21
1,4,6,6,5,6,4,4,2,2,2,5,44
5,5,5,6,4,2,2,2,5,3,2,3,26
2,2,3,4,2,5,6,2,2,1,1,5,29
6,5,5,6,5,4,5,4,4,2,2,4,25
4,5,3,5,5,5,6,4,2,2,2,5,56
6,6,6,5,6,1,2,3,1,2,2,2,38
5,4,5,5,4,4,3,2,2,2,2,3,25
4,2,4,6,5,4,5,2,2,4,1,3,39
4,3,5,5,5,3,5,3,3,4,2,1,18
6,6,5,6,6,5,4,5,5,6,2,3,39
6,6,5,6,5,1,2,2,2,3,2,3,26
4,4,4,4,4,2,2,3,5,2,1,3,19
5,6,6,6,6,4,4,4,4,4,2,3,32
6,6,6,5,6,1,1,1,5,1,2,3,47
5,5,5,4,5,3,3,2,5,2,1,3,18
5,5,3,1,4,3,4,5,4,2,2,3,19
6,5,6,5,6,3,4,5,4,4,2,1,21
1,6,1,6,5,3,4,3,1,2,2,4,31
6,6,5,6,2,5,5,6,5,5,1,2,35
3,6,5,5,6,4,2,3,3,6,1,3,22
6,5,5,5,5,1,1,1,4,1,2,4,56
2,2,2,2,4,3,5,4,6,3,2,2,28
6,6,6,6,6,1,3,1,2,1,2,3,40
5,4,4,1,4,4,5,1,2,3,2,1,17
4,6,6,6,5,4,4,3,2,1,1,3,30
2,4,2,4,5,2,5,5,5,5,1,1,38
4,5,5,5,2,3,4,5,4,4,2,4,39
6,6,5,6,5,1,1,1,1,1,2,4,39
4,5,5,4,5,2,2,2,2,2,1,3,20
5,5,4,5,2,6,6,6,6,5,2,3,37
6,6,5,6,5,1,2,2,2,2,2,3,19
5,5,5,4,6,1,1,1,3,2,2,2,53
6,4,6,6,6,2,2,2,3,1,2,3,28
6,3,5,5,5,1,4,2,5,4,2,2,18
2,3,2,5,3,4,6,5,6,6,2,2,42
6,5,6,6,6,2,3,2,5,2,2,2,23
5,5,5,3,5,5,4,3,2,5,2,3,22
6,6,1,6,6,1,2,2,4,2,2,4,30
2,4,5,4,4,1,4,1,1,1,2,3,19
2,6,6,5,5,1,2,1,2,1,2,2,39
6,6,5,6,6,1,1,1,1,1,1,3,29
6,5,2,3,4,1,2,4,1,1,1,3,24
4,5,6,6,6,4,4,2,2,2,2,3,30
2,4,2,3,4,4,5,6,4,4,2,3,20
6,4,4,5,6,2,4,3,1,4,2,3,33
6,5,5,6,5,2,4,2,2,1,2,5,50
5,4,4,1,3,1,2,1,4,4,1,2,18
2,6,3,6,3,6,6,6,4,6,2,2,28
4,5,5,6,5,5,6,6,2,2,2,3,20
2,4,5,6,4,6,6,4,6,5,1,3,39
6,6,5,5,5,1,2,4,5,2,2,5,37
6,5,4,5,4,3,4,4,4,4,2,1,53
2,4,3,2,3,4,6,2,1,4,2,3,18
6,6,6,6,6,2,6,4,5,5,2,5,26
5,6,6,3,6,4,5,4,5,2,1,3,19
6,5,4,6,3,2,2,2,1,2,2,3,21
4,4,4,1,3,2,6,2,1,2,2,3,30
5,4,4,1,3,5,6,1,6,1,1,4,37
5,3,4,6,4,2,3,2,1,2,2,3,26
3,1,2,4,2,6,6,6,5,6,1,3,19
6,4,3,6,5,6,5,5,6,4,1,4,67
6,5,5,2,5,2,4,2,3,1,2,4,34
6,5,6,5,4,2,2,2,1,4,2,3,20
4,1,2,2,2,3,5,4,4,4,1,3,19
3,4,5,2,3,3,3,3,4,1,2,3,23
3,2,1,3,1,4,5,4,3,3,2,3,19
5,5,5,2,5,2,4,2,2,2,2,4,28
5,5,5,6,5,4,4,1,5,3,2,5,36
4,4,5,2,4,5,5,5,3,2,1,5,24
5,4,5,1,4,2,6,6,5,6,1,3,27
6,5,4,5,2,3,1,4,6,6,2,4,50
6,6,6,6,6,3,4,3,2,2,2,3,32
1,6,6,5,5,1,1,1,1,1,1,1,20
6,4,5,2,6,2,1,3,3,1,2,1,18
5,6,5,5,5,4,5,4,4,6,2,3,22
5,6,5,6,5,2,2,3,5,1,1,5,20
5,6,5,4,6,2,5,2,1,2,2,1,16
5,5,6,6,5,1,2,4,2,1,2,2,48
6,6,6,5,6,2,3,1,2,2,2,3,25
6,4,4,5,4,2,4,1,2,2,2,3,35
3,3,3,5,1,6,6,6,6,6,2,3,50
5,4,5,5,5,5,5,2,4,4,1,3,20
5,5,6,6,5,2,2,1,1,2,2,3,52
5,2,2,3,2,2,5,5,6,2,1,2,20
5,2,4,1,4,3,4,5,4,2,2,1,28
5,6,6,6,5,4,4,5,2,5,2,3,24
5,3,1,1,4,2,4,4,5,1,2,3,19
6,6,6,6,1,2,2,2,3,2,2,3,45
6,6,5,6,6,4,5,4,4,6,2,5,36
6,2,5,6,5,1,1,2,4,2,1,5,34
6,6,6,6,6,1,1,1,1,1,2,4,38
4,5,4,6,5,3,3,5,2,3,2,3,19
5,6,5,6,4,2,2,4,6,1,1,2,48
2,5,6,6,5,6,5,5,3,1,1,3,19
4,4,4,5,5,4,4,4,5,3,2,3,29
6,5,6,6,6,4,5,4,3,5,2,4,24
6,2,5,6,5,5,2,2,4,4,2,3,21
4,3,5,6,4,4,4,4,4,4,2,3,21
6,5,6,6,6,1,2,2,2,4,1,5,26
4,4,6,6,6,4,4,3,2,5,2,1,16
1,5,2,4,5,1,1,1,5,1,1,1,17
6,6,5,6,6,2,2,2,2,1,2,3,20
6,5,5,4,4,2,2,4,4,4,2,3,20
6,6,6,6,5,3,3,1,1,2,2,3,19
5,5,6,5,6,5,4,5,5,5,1,5,46
5,4,4,5,3,4,4,4,4,4,2,5,32
3,6,6,6,6,4,4,2,4,4,2,3,21
6,5,5,6,5,1,3,3,1,2,2,3,27
3,6,4,5,5,4,5,6,3,5,2,3,30
6,6,5,4,5,2,4,2,2,5,1,3,20
4,4,4,4,4,2,2,2,2,4,2,4,28
5,5,5,6,5,3,4,2,1,1,2,2,50
4,4,4,4,4,6,6,5,5,6,2,2,23
5,5,5,6,4,4,5,5,5,5,2,3,38
6,6,6,4,6,1,1,1,1,1,1,2,29
5,6,3,6,5,4,5,4,5,4,2,3,23
4,5,1,3,4,5,6,5,4,4,2,4,22
6,5,5,6,5,1,1,1,2,4,2,5,32
6,5,5,6,5,3,3,3,4,1,1,5,40
5,4,4,4,6,1,1,3,4,4,2,5,29
6,6,6,6,6,1,1,1,2,4,2,3,30
6,5,3,4,5,1,2,2,1,2,2,2,19
6,6,2,6,5,4,2,1,2,3,2,3,51
6,2,2,4,3,4,6,6,4,5,2,3,18
5,4,6,6,6,2,2,4,5,2,2,3,36
6,4,4,5,3,5,5,5,5,1,1,5,51
1,3,2,4,4,1,4,1,1,1,1,3,20
1,6,6,6,6,2,6,2,6,1,1,3,38
5,6,4,2,5,1,1,1,4,1,1,5,25
4,5,4,3,4,4,2,2,5,4,2,2,19
5,4,6,4,5,2,4,1,1,1,2,1,31
2,6,5,6,6,4,4,1,1,1,2,3,34
3,6,2,5,5,3,4,4,3,3,2,3,19
6,5,4,5,1,1,1,2,5,2,1,3,22
6,3,2,3,2,4,4,5,6,2,1,5,50
5,4,6,6,5,1,2,1,4,2,2,3,19
5,4,3,4,4,3,3,4,4,4,2,3,34
5,5,5,5,5,2,3,1,2,2,2,2,21
6,6,6,5,6,1,1,2,4,6,1,3,24
6,5,3,2,3,5,5,5,5,3,2,1,43
4,4,3,2,2,5,5,2,6,4,2,2,25
2,4,2,6,4,5,5,4,4,4,1,2,65
5,5,5,5,5,3,4,3,4,3,2,4,37
6,5,5,6,6,4,4,4,3,1,2,4,26
4,5,5,6,5,2,2,2,2,2,2,5,39
5,4,4,5,3,5,5,5,2,3,2,3,26
6,6,6,6,6,4,1,6,4,5,2,3,55
6,5,6,6,6,1,1,1,1,1,2,3,30
6,4,6,6,6,3,3,2,1,1,2,3,30
4,4,4,6,3,3,5,4,3,3,2,1,42
6,6,6,6,4,2,4,4,4,2,2,3,40
2,5,3,6,6,3,4,4,4,3,1,4,38
