"A1","A2","A3","A4","A5","N1","N2","N3","N4","N5","gender","education","age"
4,6,4,4,4,2,2,1,1,1,1,4,26
2,2,3,2,2,3,3,2,3,1,1,2,28
5,5,4,6,4,4,5,5,5,4,2,2,22
4,4,4,6,4,1,4,1,2,4,2,2,20
6,6,3,5,4,1,2,1,2,3,1,3,19
5,5,2,1,2,1,1,2,1,1,2,5,33
6,5,5,6,5,2,2,2,3,3,2,3,49
5,3,4,2,3,4,5,5,5,2,1,4,30
4,5,6,5,6,3,5,3,3,1,1,3,21
6,4,4,2,2,5,5,5,5,4,2,3,19
6,5,4,2,5,2,1,5,5,1,2,4,44
6,5,4,5,5,4,4,5,6,6,2,3,20
5,4,3,5,5,1,1,1,2,2,1,5,26
6,6,6,6,6,1,1,1,2,6,2,3,48
6,6,6,6,6,3,3,4,4,1,2,3,25
5,4,4,6,4,3,3,2,4,2,2,3,23
6,6,5,4,5,1,1,2,2,3,2,4,21
5,3,5,4,5,3,4,2,2,1,1,3,21
6,6,5,6,5,5,4,1,1,5,2,3,18
2,6,6,5,4,3,2,3,4,2,2,1,43
4,4,3,1,3,3,4,5,3,2,1,5,25
5,5,3,4,4,4,4,3,4,3,2,5,31
6,5,5,2,3,6,6,5,6,6,2,3,21
6,6,6,5,6,3,4,5,3,6,2,3,23
6,6,6,6,6,2,1,1,2,4,2,3,43
2,4,6,2,4,5,6,5,4,5,1,1,19
5,4,4,3,4,4,4,4,4,2,1,5,67
4,6,5,6,5,4,4,4,3,2,2,2,35
5,4,4,6,4,3,2,2,4,6,2,3,41
5,4,4,6,3,1,1,1,1,1,1,3,19
2,5,6,1,5,2,3,3,3,3,1,1,20
6,6,5,5,5,4,4,5,6,4,1,3,32
5,5,5,5,6,2,2,2,2,2,1,1,19
4,2,2,2,3,2,2,2,6,3,1,3,21
5,2,2,5,4,4,4,3,4,2,1,2,32
4,4,2,4,1,2,4,2,2,5,2,4,22
2,5,5,5,5,5,5,5,5,5,1,3,25
6,5,5,5,6,5,6,5,4,4,2,5,32
3,5,4,5,4,3,2,2,4,5,1,1,49
5,6,6,5,5,4,4,2,3,2,1,5,40
6,6,6,2,5,6,6,4,2,4,2,2,47
5,5,2,5,5,2,5,3,5,2,1,1,35
5,5,6,6,4,3,4,3,2,4,2,3,33
6,6,6,4,6,4,4,4,2,5,2,5,45
6,5,4,4,4,1,1,4,6,1,1,2,35
6,6,5,4,5,5,4,6,5,5,2,5,22
2,6,6,5,5,1,1,1,1,1,1,3,21
5,5,5,6,4,2,2,3,3,3,2,3,48
4,4,4,5,4,2,2,3,3,3,2,5,37
5,6,5,6,5,1,4,3,2,1,1,5,34
5,5,3,5,5,2,2,1,1,5,1,1,51
5,5,2,4,2,5,5,2,4,4,1,2,61
5,4,6,1,4,6,4,1,4,6,2,3,22
5,4,4,4,4,4,5,3,5,4,2,4,25
5,6,4,6,4,4,5,2,3,6,2,1,30
5,5,6,5,5,3,5,4,4,3,2,3,25
3,4,5,6,2,5,6,5,5,1,2,4,43
6,5,6,5,5,1,1,1,3,2,2,4,29
3,6,5,5,5,2,2,2,1,3,1,3,21
4,4,5,2,3,3,3,2,3,2,2,3,48
5,4,4,5,4,1,3,2,2,1,2,3,32
5,6,5,6,5,3,2,2,4,4,1,4,28
6,6,6,5,5,2,4,2,2,5,2,5,47
6,6,5,2,5,4,5,3,5,4,2,4,24
5,6,5,6,5,4,3,5,6,2,2,5,41
6,6,6,6,6,4,2,2,1,2,2,3,22
6,5,4,1,5,4,4,6,6,5,1,3,24
4,6,6,6,6,2,2,2,1,2,2,3,34
2,5,4,5,5,2,4,1,2,2,1,3,29
6,6,6,6,5,2,5,4,2,4,2,3,18
2,5,5,3,5,3,4,4,4,5,2,3,19
4,4,4,6,3,1,3,2,2,1,1,3,19
6,6,5,3,5,1,1,1,1,1,2,4,24
4,4,5,6,4,3,4,2,1,3,1,3,23
6,6,5,6,4,6,6,6,6,2,1,2,27
3,2,6,6,2,4,3,4,1,2,2,4,24
3,2,5,2,5,4,4,6,6,2,1,2,25
6,5,6,6,5,2,4,4,6,4,2,3,40
6,4,6,5,6,4,4,2,1,1,2,4,32
6,6,6,6,6,2,3,2,3,2,1,4,25
1,6,6,6,6,6,6,6,1,4,2,3,27
3,5,3,5,4,3,5,3,1,3,2,3,26
3,5,6,1,5,5,6,6,5,1,2,3,23
3,5,5,6,5,3,4,5,3,4,1,3,51
6,5,5,5,6,2,2,3,2,5,2,3,20
5,6,5,3,6,2,2,3,3,6,2,1,18
6,6,6,6,6,1,1,1,1,1,1,4,55
2,5,4,5,5,2,3,2,1,1,1,3,21
5,4,5,6,4,3,5,5,3,5,2,3,49
3,6,6,6,6,3,6,6,2,1,2,3,23
5,6,6,6,6,4,3,2,2,3,2,5,32
6,6,5,6,4,1,1,1,4,5,1,1,43
3,4,4,4,3,3,4,2,4,1,1,3,30
6,6,6,1,1,6,6,6,6,6,2,5,31
4,5,5,5,5,1,1,2,1,1,1,4,35
5,6,5,3,5,6,6,6,6,6,1,3,19
6,6,5,6,5,3,3,5,4,6,1,2,24
5,6,5,6,5,2,2,4,2,1,2,3,33
5,1,4,2,4,4,2,6,2,2,2,4,19
5,6,6,4,6,1,1,1,1,1,2,3,22
6,5,5,6,5,3,3,2,1,2,2,1,22
6,6,6,6,6,3,4,2,4,5,2,1,16
6,5,6,4,5,1,3,3,2,2,1,1,22
5,5,5,5,5,4,5,2,4,5,2,3,32
1,5,5,2,5,5,4,4,3,1,1,5,24
5,5,5,4,5,3,3,1,2,3,2,5,39
3,6,4,6,4,3,5,5,4,4,2,3,26
5,4,5,6,5,1,1,2,2,1,1,3,21
6,6,5,4,6,4,4,4,4,4,1,5,54
4,5,3,6,1,6,6,6,5,6,2,3,30
5,5,5,6,5,2,2,3,3,2,2,4,43
6,5,5,5,5,5,5,4,4,3,2,5,35
6,6,6,5,5,5,6,5,4,6,2,3,35
4,5,2,4,5,1,6,1,1,6,1,3,20
5,5,4,4,6,1,1,2,4,2,2,3,29
6,6,6,6,6,1,1,1,1,3,2,3,32
3,3,4,3,3,5,5,5,4,4,1,2,31
6,6,6,6,6,1,1,4,4,1,1,3,21
5,5,5,4,4,2,4,2,2,2,1,5,37
2,2,6,5,5,6,6,6,6,6,1,4,22
3,5,5,5,6,5,6,5,3,1,1,3,31
5,5,3,5,4,1,4,5,5,2,2,3,23
5,5,5,6,5,1,2,2,5,5,2,5,32
6,5,6,5,5,1,1,1,1,2,2,4,27
3,5,3,2,3,3,5,4,5,5,1,3,20
4,4,5,4,4,3,3,3,2,3,1,3,21
3,4,3,1,3,4,5,6,4,5,2,1,18
5,2,6,2,6,6,6,5,4,6,1,3,19
4,5,4,2,2,5,6,6,6,6,2,3,18
6,5,6,5,5,2,4,3,3,2,2,2,57
5,6,3,3,3,5,5,5,5,4,2,3,19
3,4,4,5,5,5,3,3,3,4,2,3,23
5,5,5,6,4,4,4,4,5,4,2,3,24
2,2,1,1,1,1,1,1,1,1,1,1,18
6,5,3,1,4,1,1,3,2,1,1,1,21
1,4,4,6,6,3,6,5,4,4,2,1,23
2,2,3,2,3,2,4,5,5,4,1,3,31
5,5,4,6,3,2,2,1,1,1,1,3,37
5,6,5,6,5,5,5,5,5,5,2,1,19
4,4,5,6,2,2,3,2,2,5,2,3,26
2,5,5,6,2,5,4,5,2,4,2,3,46
5,4,4,5,3,4,5,4,5,5,1,1,18
5,6,5,5,5,1,2,2,2,3,2,3,25
6,6,6,6,4,6,5,6,6,4,2,5,41
6,5,5,1,2,6,6,2,2,2,2,2,31
5,5,6,6,5,1,2,1,2,1,1,3,20
5,6,2,6,5,2,2,1,2,2,2,2,19
6,5,6,6,6,3,4,4,2,5,2,5,28
5,6,5,4,5,4,3,2,2,3,2,3,19
1,6,5,1,6,4,1,3,1,6,2,3,21
6,4,5,5,2,4,5,2,5,4,2,3,19
3,4,4,4,4,5,5,6,6,5,1,4,50
6,6,6,6,6,3,3,4,2,4,2,4,19
6,5,3,4,4,3,4,4,6,4,1,3,20
3,3,5,6,5,5,6,6,3,4,2,1,19
3,4,4,2,4,3,5,2,2,4,2,2,21
4,2,2,4,4,2,3,2,5,2,1,4,51
6,6,5,6,6,1,2,2,2,3,2,4,35
6,6,5,2,5,1,1,1,1,1,2,1,18
6,6,6,6,6,1,4,1,5,1,2,5,22
2,5,4,5,4,3,2,3,3,1,1,1,17
6,6,6,6,6,1,6,1,1,1,2,1,51
6,6,6,6,6,1,2,6,5,5,2,1,62
6,5,6,6,4,5,5,6,5,5,2,1,17
6,6,6,6,6,1,2,1,1,1,1,3,28
6,5,5,4,5,4,4,4,4,4,2,3,29
5,5,6,4,6,4,4,3,2,3,2,3,20
3,5,5,4,5,4,5,3,4,5,2,3,32
5,6,2,3,4,1,1,1,2,2,2,4,50
4,5,3,5,4,3,4,3,3,3,1,3,24
2,2,4,3,3,4,4,6,2,1,2,3,23
6,6,6,6,5,1,4,1,1,1,2,4,50
5,5,5,4,6,2,4,2,2,1,2,4,24
5,5,4,4,5,3,2,2,6,5,2,4,23
2,3,5,3,3,4,5,1,1,2,2,3,19
5,6,6,5,5,4,4,3,1,4,2,3,26
5,5,5,6,5,1,4,4,2,5,2,4,43
2,2,2,6,6,1,2,1,2,1,2,5,35
2,4,3,4,3,2,4,1,4,2,1,3,29
5,4,3,6,6,1,2,1,1,1,2,5,33
6,4,6,4,6,1,1,1,1,1,2,3,36
5,5,5,5,5,2,2,3,2,2,1,5,43
6,5,5,4,4,4,5,5,3,4,2,4,23
6,6,6,5,3,2,2,3,3,3,1,1,49
5,5,5,6,6,2,5,3,1,6,2,3,31
3,4,4,4,4,2,4,3,3,3,2,5,27
5,6,5,4,4,4,4,2,4,1,1,3,19
3,4,1,1,2,4,5,2,4,2,2,4,22
3,3,6,6,6,5,3,5,4,2,1,3,23
6,5,5,6,4,6,6,4,6,3,2,3,19
6,5,4,4,5,2,2,4,4,2,2,3,39
5,2,3,2,2,2,4,2,4,2,1,4,38
2,5,6,6,2,3,4,4,3,3,2,3,47
6,6,4,1,4,3,4,5,6,3,2,5,44
4,6,3,6,1,3,4,3,4,5,2,4,54
3,4,4,4,4,4,4,4,4,4,2,1,20
4,4,4,4,4,4,3,1,3,2,1,5,22
5,5,5,6,5,1,1,1,1,1,1,3,21
6,6,6,6,5,4,5,4,4,6,2,3,31
5,5,5,5,6,2,4,3,1,3,1,4,25
6,6,6,6,6,6,5,4,5,6,2,5,37
6,4,4,6,4,3,3,4,4,3,2,5,45
6,6,6,4,5,1,5,1,1,2,1,5,24
2,5,5,5,5,5,5,5,5,5,1,3,20
4,4,2,2,3,5,5,5,4,5,2,5,28
6,6,1,6,5,2,4,6,6,5,2,5,64
5,5,5,3,2,6,6,6,3,2,2,3,26
5,5,4,4,5,3,4,2,4,2,1,4,45
5,4,3,5,4,1,2,1,2,1,1,5,32
4,5,1,4,4,4,4,5,2,1,2,3,19
2,4,5,6,4,2,2,1,3,2,1,3,19
3,2,2,4,3,2,2,4,3,2,2,3,20
5,5,5,5,4,3,4,4,3,4,1,1,18
5,5,4,5,5,2,2,2,4,6,2,1,47
5,5,5,5,5,3,4,2,2,2,2,3,20
6,6,6,6,4,3,4,4,1,1,2,3,26
2,4,3,4,5,3,2,3,5,3,1,2,22
4,5,5,6,6,1,1,1,2,2,1,2,26
5,5,6,5,5,3,4,1,2,1,1,2,31
5,4,4,5,5,2,3,4,3,3,2,4,33
6,5,1,6,6,4,5,5,4,6,2,3,31
6,5,4,3,4,2,4,4,4,5,2,3,20
2,2,3,3,3,5,5,4,3,1,1,4,21
5,6,5,5,6,4,4,6,4,4,2,5,25
5,5,5,4,6,1,1,2,4,4,1,2,45
5,3,3,4,4,1,2,2,3,4,2,1,18
5,6,5,6,3,2,2,1,1,2,2,3,52
6,6,6,6,6,2,2,5,2,1,1,1,17
3,2,4,4,4,3,3,2,2,1,1,3,38
4,5,5,5,5,6,6,5,5,3,2,3,29
6,5,6,5,6,2,2,3,2,1,2,3,29
4,4,3,6,4,4,4,4,6,6,2,3,31
2,5,5,6,5,4,3,3,2,4,2,2,28
5,2,6,2,2,5,5,5,5,1,1,2,19
2,5,5,2,6,5,6,6,4,6,2,4,34
6,5,4,4,4,4,4,4,3,4,1,5,28
5,5,4,6,5,1,4,2,1,1,2,4,26
6,6,6,4,4,4,5,4,2,5,2,3,27
6,6,6,6,6,2,4,2,2,4,2,3,39
6,5,5,6,6,4,4,2,5,4,2,3,24
4,5,4,3,4,6,5,4,5,6,2,1,45
6,5,5,5,5,1,1,5,4,3,2,3,20
6,6,6,6,6,1,2,4,4,1,2,3,11
2,4,4,6,3,2,4,4,5,3,1,3,42
5,6,4,6,5,2,2,5,4,3,2,3,25
6,6,5,6,6,4,4,1,1,3,2,4,23
6,4,5,5,4,3,4,5,4,5,1,3,31
3,2,1,4,1,1,1,1,1,1,1,2,24
2,6,6,6,6,3,2,3,2,5,2,1,24
1,6,5,6,5,3,5,2,2,3,2,3,21
5,4,5,3,4,2,2,2,2,1,1,5,33
2,4,1,1,1,6,6,4,6,1,1,3,23
3,3,4,4,3,4,4,4,3,2,1,3,21
6,5,5,3,3,5,5,5,3,2,1,5,43
6,6,6,5,6,5,5,2,5,2,2,3,49
6,5,6,5,6,2,2,2,2,2,1,5,68
6,6,6,6,3,2,2,1,1,2,2,3,33
5,4,5,4,6,1,3,4,4,4,1,3,18
5,4,3,2,3,5,5,5,5,4,2,5,29
5,5,5,5,5,2,2,4,2,3,2,3,28
6,6,5,6,6,4,5,4,3,4,2,4,33
6,6,5,5,6,1,1,1,1,1,2,5,35
5,4,3,2,4,4,4,5,5,4,1,3,25
5,5,4,4,5,2,3,3,4,2,1,4,23
6,6,6,2,6,1,1,1,1,1,1,3,25
3,4,4,4,5,2,4,5,4,5,2,3,38
4,6,6,3,5,3,4,2,1,1,2,5,33
4,4,5,5,4,2,3,2,2,3,2,3,22
4,4,4,6,4,5,5,4,3,3,2,3,27
6,5,5,5,6,2,2,2,3,4,2,3,57
2,6,3,6,3,2,3,3,2,2,2,2,28
6,5,5,5,5,3,3,3,3,4,1,3,20
5,6,6,6,5,1,2,1,1,2,2,3,43
6,5,4,5,4,5,5,5,3,5,2,2,20
6,6,5,6,5,4,4,3,5,4,2,3,51
5,6,5,5,5,5,6,6,5,4,2,2,34
2,5,5,6,6,1,1,1,1,2,2,2,38
5,6,6,6,5,5,5,3,4,5,2,3,18
4,5,6,6,6,4,5,1,4,2,2,3,22
6,5,5,6,3,3,5,3,2,2,2,4,30
5,5,5,5,5,1,1,2,2,1,2,3,32
5,4,4,5,5,5,5,5,6,3,2,3,45
4,2,4,4,4,3,4,4,4,4,1,1,19
6,5,5,4,4,3,4,5,5,2,1,2,27
6,6,5,6,5,1,2,2,4,4,2,3,40
3,4,3,1,4,3,4,2,2,1,1,1,18
4,4,6,6,4,6,6,6,4,5,2,1,35
6,6,6,6,4,2,5,5,4,4,2,5,26
6,3,4,4,4,3,2,1,1,2,1,3,21
4,4,4,5,4,3,3,4,2,4,2,1,24
5,4,2,2,4,1,2,1,2,1,2,3,20
5,5,4,6,2,2,4,2,2,1,1,3,21
5,5,5,5,5,2,3,3,2,2,2,3,19
6,5,5,6,5,3,3,3,3,2,2,3,36
3,4,4,6,4,4,5,5,6,6,2,2,32
2,4,4,4,3,2,2,1,3,1,1,1,24
5,5,2,6,5,2,2,2,2,1,2,4,32
1,4,1,5,4,1,1,1,1,1,1,1,44
6,4,5,6,4,4,5,3,6,4,1,1,18
5,5,5,2,5,1,2,4,4,2,2,3,20
6,5,5,5,5,3,3,2,2,2,2,4,50
5,5,5,6,2,2,1,3,2,4,2,3,17
1,2,5,6,6,1,1,4,2,5,2,2,19
3,4,5,4,5,2,2,2,2,2,1,3,29
6,6,6,3,6,1,3,1,4,4,2,4,22
6,4,4,3,6,3,5,2,2,3,2,3,39
6,4,6,6,2,2,3,2,6,6,1,3,19
6,6,6,6,6,2,1,4,6,5,1,3,25
5,6,6,6,6,1,1,1,1,2,2,5,43
4,5,5,5,3,5,4,4,4,4,2,3,26
3,5,4,2,4,2,4,4,6,5,2,5,38
3,4,4,4,4,4,5,2,4,3,2,2,19
4,5,6,5,5,3,3,5,4,3,2,5,34
5,6,5,6,4,3,5,4,4,4,2,3,22
5,4,4,6,4,6,6,5,5,3,2,3,32
6,6,6,6,1,1,1,1,1,1,2,3,36
5,5,6,4,6,2,3,3,2,2,1,3,34
3,6,1,6,6,4,3,6,5,6,2,1,20
4,5,5,5,6,2,2,3,3,3,2,3,23
3,5,4,5,2,5,5,5,3,5,2,3,24
3,4,6,5,4,2,4,2,3,3,1,2,22
4,6,6,6,5,3,4,4,5,6,2,3,30
5,5,5,6,5,2,2,2,3,3,1,3,23
6,5,5,6,6,4,5,3,2,5,2,5,34
2,5,2,5,2,2,2,2,4,2,1,5,33
4,3,3,4,4,2,2,2,3,2,1,3,24
2,6,6,1,6,1,5,5,5,4,2,5,28
6,6,4,5,4,3,4,2,2,2,2,3,21
6,5,6,5,6,1,1,1,2,4,2,4,21
1,6,6,6,5,2,4,2,4,3,2,3,31
4,2,2,2,4,2,3,2,3,1,2,1,16
6,5,4,6,5,4,4,5,2,3,2,3,20
6,4,6,2,5,5,4,4,4,6,2,5,27
6,5,6,5,6,6,6,6,5,6,2,3,28
5,5,5,2,4,2,3,2,4,2,1,3,23
5,2,4,3,2,4,4,4,5,1,2,2,25
6,5,5,5,6,3,4,2,4,2,2,5,36
5,6,6,6,5,2,3,2,2,4,2,3,21
6,5,6,6,1,1,1,2,3,3,2,2,25
6,6,5,6,5,5,5,6,1,5,2,3,35
2,1,6,5,5,1,1,1,1,1,2,3,40
3,5,4,6,5,1,2,4,3,4,1,3,21
6,6,5,4,5,5,5,4,4,5,1,2,22
5,5,4,6,4,2,2,2,4,3,2,3,27
6,5,5,6,5,2,2,4,4,3,2,3,23
5,5,5,6,4,4,4,5,4,3,2,3,21
6,6,6,6,6,1,1,1,4,6,2,3,37
6,6,6,6,6,2,4,2,1,1,2,3,33
6,6,6,6,5,1,2,4,4,4,1,3,19
6,4,5,4,5,3,3,3,2,4,2,5,28
6,6,6,6,6,2,3,2,3,4,2,3,19
3,6,5,4,5,5,4,1,4,2,1,2,30
6,6,6,6,6,1,1,2,1,1,2,3,23
6,6,6,5,6,1,4,3,4,5,1,3,22
6,4,3,5,3,1,2,1,1,2,2,3,19
6,6,6,3,5,3,2,2,5,1,2,5,56
3,5,5,6,2,5,6,6,1,5,2,3,29
1,2,5,6,6,1,1,6,2,6,2,2,19
5,5,5,5,4,4,5,2,4,4,2,4,32
4,6,5,6,6,1,2,2,1,1,1,3,42
3,6,5,6,6,4,6,6,6,4,1,3,19
6,5,5,5,2,2,3,4,3,2,2,5,52
5,5,5,6,4,1,2,3,2,3,2,3,34
6,5,5,6,4,3,3,2,1,2,1,5,27
4,6,6,5,6,6,4,5,4,2,2,4,34
5,6,6,6,6,4,2,3,4,1,1,2,19
4,4,4,6,3,4,5,4,4,3,2,5,40
6,5,6,1,4,3,4,4,6,5,2,4,33
6,5,5,5,6,1,1,1,2,1,2,3,21
5,5,5,4,5,5,5,5,4,3,2,3,28
1,2,4,6,3,5,5,5,4,1,1,1,25
5,5,3,2,4,5,6,4,5,4,2,2,26
6,6,5,6,5,4,4,5,4,5,2,3,25
5,3,4,4,5,4,4,6,5,2,1,1,32
5,5,6,5,5,5,6,3,4,2,2,5,37
4,6,6,6,6,6,6,6,1,1,2,3,27
6,6,6,6,5,1,3,4,2,3,2,3,47
3,5,6,4,5,4,2,2,3,1,1,3,20
3,2,4,6,5,3,4,2,1,1,2,2,23
2,6,2,6,5,1,3,1,2,3,2,3,25
1,2,5,2,2,1,2,2,1,1,1,3,19
3,6,4,2,5,1,3,1,2,1,1,2,21
4,6,5,6,6,2,4,3,2,2,2,2,40
5,6,6,6,6,5,5,5,2,1,2,2,19
4,4,4,1,4,1,2,2,2,3,2,3,19
1,6,6,6,6,5,5,2,4,2,1,3,38
3,3,5,5,5,5,6,5,4,2,1,2,23
6,4,4,4,4,4,4,4,4,5,1,4,44
6,5,5,6,5,1,1,1,2,6,2,5,29
6,6,5,6,5,2,4,2,4,1,2,5,33
6,4,4,4,5,5,4,6,4,4,2,3,22
5,4,5,5,3,2,2,1,3,3,1,4,28
6,6,6,6,4,2,3,3,2,2,2,3,26
3,5,6,6,4,2,3,3,1,3,2,3,22
4,5,4,6,4,3,3,2,4,2,2,3,20
5,5,5,2,5,5,4,6,4,3,2,3,34
6,5,4,6,4,4,6,5,4,4,2,3,26
6,6,6,4,6,2,4,4,4,3,2,4,29
6,6,5,5,6,3,3,4,3,4,1,3,21
6,4,4,4,5,2,2,4,2,4,2,3,19
4,5,5,3,5,5,5,5,4,2,1,4,28
6,6,5,6,6,5,3,2,4,4,2,3,39
5,5,5,5,6,3,2,4,3,4,2,3,19
5,6,6,6,6,1,1,2,2,2,2,5,33
3,6,4,5,5,1,2,2,3,2,2,3,19
5,5,5,2,5,2,4,1,2,2,2,4,28
4,5,5,3,5,2,3,4,5,2,2,4,31
6,4,2,3,4,1,1,1,1,1,2,4,28
5,6,5,6,6,3,4,2,2,1,1,2,29
5,5,5,6,5,5,5,4,4,3,1,1,15
4,5,6,6,5,5,5,4,3,3,1,3,26
6,6,5,6,5,2,2,3,5,4,1,2,48
4,6,6,6,5,4,5,3,4,6,2,3,20
5,6,6,6,6,1,2,1,3,2,2,5,24
6,6,6,4,5,2,2,5,4,1,2,5,31
3,5,3,4,3,4,5,5,4,3,1,4,46
3,4,4,4,4,1,1,2,4,3,1,3,23
4,6,4,6,5,1,1,2,2,5,2,3,21
5,4,6,5,5,3,2,4,2,1,2,4,23
5,6,5,3,5,2,4,1,2,2,2,4,28
5,5,5,4,5,3,3,3,2,3,1,5,21
6,4,4,4,4,2,3,4,2,3,1,4,28
6,6,5,6,4,5,5,5,4,4,2,3,27
5,5,4,6,5,5,6,5,3,4,2,3,27
6,5,5,5,5,4,5,4,4,4,2,3,34
2,5,3,5,2,5,5,6,5,2,1,3,35
6,6,6,6,6,2,4,4,2,5,2,3,20
3,6,6,6,2,2,1,5,5,1,1,1,25
5,5,2,6,2,6,6,6,6,6,2,3,23
6,6,5,5,5,4,5,5,2,6,2,3,25
5,4,4,5,4,5,5,6,6,2,2,3,30
4,3,5,6,5,2,2,5,1,3,2,2,31
5,6,6,6,4,3,2,4,4,4,2,3,34
5,3,4,6,2,4,5,6,6,6,2,1,18
6,4,6,2,6,4,3,3,2,4,2,5,23
3,4,5,6,5,3,3,4,2,3,1,1,21
6,6,6,6,6,2,3,3,2,4,2,5,42
5,5,5,5,5,2,2,1,1,2,1,3,32
6,6,6,5,6,2,3,4,3,4,2,3,20
2,6,6,5,6,3,3,2,4,3,1,3,18
2,1,2,1,2,3,3,1,3,2,2,4,27
4,5,4,4,4,2,2,1,1,2,2,3,19
6,6,6,6,6,1,5,5,5,6,2,5,29
6,6,6,6,6,4,4,5,5,5,2,2,45
6,6,6,6,6,1,1,1,1,1,1,4,32
6,5,6,5,4,1,2,2,5,3,1,5,22
4,5,6,6,5,1,1,1,1,2,2,3,41
6,6,6,6,5,2,3,5,4,1,2,5,26
6,4,5,6,5,1,3,2,2,5,2,3,18
6,5,6,5,6,1,4,1,1,3,1,3,21
4,5,5,5,4,2,1,2,2,3,2,3,23
5,4,4,5,2,2,2,4,6,4,2,3,29
6,6,6,5,5,1,5,1,3,1,2,4,56
3,4,1,1,1,1,2,2,6,2,1,5,52
4,5,4,6,4,6,6,5,1,2,2,4,27
3,6,5,5,5,6,6,6,6,6,2,3,27
6,6,5,4,6,1,3,2,2,2,2,3,50
5,5,5,4,3,4,5,4,3,5,2,3,27
4,5,5,5,5,2,3,1,1,2,1,3,18
5,4,4,5,4,2,2,2,2,3,1,5,26
4,2,3,3,1,1,4,4,6,2,1,3,26
6,5,6,6,6,1,1,4,1,5,2,3,25
3,5,5,4,5,2,2,2,3,1,1,4,23
6,6,5,3,5,3,3,4,4,4,2,4,29
6,6,6,6,6,1,4,5,1,1,2,2,22
5,2,2,5,5,4,4,2,1,3,1,3,26
6,6,6,4,5,2,5,3,2,4,2,5,28
6,6,6,4,5,5,5,5,4,2,2,3,19
1,1,2,2,2,2,2,2,3,1,1,3,29
5,6,6,6,6,2,2,2,4,6,2,3,40
5,5,4,4,4,5,5,2,4,6,2,3,31
3,5,4,6,4,3,4,3,1,4,2,3,19
3,5,5,6,4,2,4,2,6,2,2,3,23
1,1,5,4,2,5,6,6,2,4,2,1,16
6,5,5,5,5,5,6,4,5,6,1,4,52
6,6,4,6,6,1,2,2,2,1,1,2,40
3,5,4,1,4,2,4,5,1,1,2,4,36
4,5,5,6,5,1,2,1,1,1,2,1,24
5,6,5,6,5,2,5,1,1,1,2,4,25
2,5,4,6,4,1,1,1,1,2,1,4,36
3,3,2,2,2,1,2,1,5,2,1,3,21
6,5,5,6,5,4,5,4,2,5,2,5,29
1,5,6,6,5,4,5,4,4,4,2,3,23
6,5,5,6,6,1,4,1,4,1,2,5,45
5,5,4,6,5,2,3,5,5,4,2,3,20
3,4,4,6,1,5,6,4,4,3,1,3,26
6,6,6,6,5,4,4,4,2,3,2,5,48
3,3,1,1,5,4,2,1,2,1,1,5,74
2,4,1,2,2,2,3,2,2,2,2,4,24
3,4,4,6,3,4,5,3,4,2,1,2,49
5,4,5,4,1,4,5,5,3,3,2,2,20
3,5,5,6,5,1,3,1,1,1,2,3,27
5,3,4,6,5,3,2,3,2,1,2,1,54
6,6,6,6,6,6,6,6,6,6,2,1,41
4,4,2,4,4,6,6,6,2,1,2,1,22
6,4,4,4,4,2,2,3,5,2,2,5,37
5,5,4,4,4,2,2,2,2,3,2,4,49
3,4,5,3,4,2,4,2,6,2,1,5,25
5,5,6,6,6,3,2,4,1,2,2,3,41
4,2,3,5,4,1,1,2,5,5,1,3,28
4,6,1,5,6,3,5,2,3,2,2,3,31
6,1,1,1,5,1,2,6,4,6,2,1,18
